Feature,Importance
MAX_TTL,0.13025091512506387
MIN_TTL,0.11884550356160281
SRC_TO_DST_AVG_THROUGHPUT,0.05508267948573609
FLOW_DURATION_MILLISECONDS,0.049229802801058355
DURATION_IN,0.04616360834597619
TCP_FLAGS,0.044796867244596104
CLIENT_TCP_FLAGS,0.03927941315741484
PROTOCOL,0.03899563367308844
DST_TO_SRC_SECOND_BYTES,0.03477724233989335
IN_BYTES,0.03381316768880637
TCP_WIN_MAX_IN,0.03146245396648788
SRC_TO_DST_IAT_AVG,0.031117662564720944
SRC_TO_DST_IAT_MAX,0.0300683994093622
MAX_IP_PKT_LEN,0.02709718520892952
DURATION_OUT,0.022417454967656247
DST_TO_SRC_IAT_MAX,0.021487728751472087
DST_TO_SRC_IAT_STDDEV,0.0207761527641223
DST_TO_SRC_AVG_THROUGHPUT,0.018089310777020598
OUT_PKTS,0.017683060542078567
DST_TO_SRC_IAT_MIN,0.015489010825167676
NUM_PKTS_256_TO_512_BYTES,0.015469597898428819
LONGEST_FLOW_PKT,0.013707672282477698
RETRANSMITTED_IN_PKTS,0.013587537702334628
SRC_TO_DST_IAT_STDDEV,0.012969643754580755
DST_TO_SRC_IAT_AVG,0.012522660820829378
SERVER_TCP_FLAGS,0.011602719659536307
L7_PROTO,0.011158151852148294
TCP_WIN_MAX_OUT,0.010857710465548598
OUT_BYTES,0.010079503121015474
NUM_PKTS_UP_TO_128_BYTES,0.009321703860788969
SRC_TO_DST_SECOND_BYTES,0.008978095840309001
NUM_PKTS_128_TO_256_BYTES,0.008658023710239465
SHORTEST_FLOW_PKT,0.008305285067038499
IN_PKTS,0.006488875983801838
MIN_IP_PKT_LEN,0.004903584788251614
ICMP_IPV4_TYPE,0.003750487299154258
NUM_PKTS_1024_TO_1514_BYTES,0.0033027010495048754
RETRANSMITTED_IN_BYTES,0.0026940232772327544
ICMP_TYPE,0.0017607110692044526
NUM_PKTS_512_TO_1024_BYTES,0.0017228553399070742
SRC_TO_DST_IAT_MIN,0.0009973232589060167
RETRANSMITTED_OUT_BYTES,0.00013361354152703332
RETRANSMITTED_OUT_PKTS,0.00010426515697974522
FTP_COMMAND_RET_CODE,0.0
DNS_TTL_ANSWER,0.0
DNS_QUERY_TYPE,0.0
DNS_QUERY_ID,0.0
